model,rmse_train,mae_train,r2_train,rmse_test,mae_test,r2_test
TaylorRule_OLS,0.3723067628993156,0.35327246196465506,0.9463205845837352,0.407767510228211,0.287578215829058,0.936455905955591
RandomForest,0.24008197010233562,0.18637223956598925,0.9776784155055454,1.412235027881907,1.0997193854038683,0.23780883252969987
Lasso,0.24122705383920096,0.17936892413300906,0.9774649797488834,1.4326284528193254,1.26624101516097,0.21563700189767787
XGBoost,0.0008932864684052834,0.0007029243490912697,0.9999996909793955,1.4725394986031333,1.199686177845659,0.1713257208611667
Ridge,0.23833150964355124,0.18072003053960414,0.9780027264761215,2.0584742429402514,1.9277120116471367,-0.6193503807516225
