model,rmse_train,mae_train,r2_train,rmse_test,mae_test,r2_test
RandomForest,0.24008197010233562,0.18637223956598925,0.9776784155055454,1.412235027881907,1.0997193854038683,0.23780883252969987
XGBoost,0.0008932864684052834,0.0007029243490912697,0.9999996909793955,1.4725394986031333,1.199686177845659,0.1713257208611667
